Qa8+,1q3r2/3Q1pk1/1p1RR1p1/7p/8/2P3P1/PP3PKP/8 b - - 0 29
Nge2,rn1qkb1r/pp3pp1/2p1pn1p/3p4/3P1BPP/2NQPP2/PPP5/R3K1NR w KQkq - 0 10
O-O-O,rn1qk2r/pp3pp1/2pbpn1p/3p4/3P1BPP/2NQPP2/PPP1N3/R3K2R w KQkq - 2 11
Kb1,rn2k2r/ppq2pp1/2pbpn1p/3p4/3P1BPP/2NQPP2/PPP1N3/2KR3R w kq - 4 12
Bxd6,r3k2r/ppqn1pp1/2pbpn1p/3p4/3P1BPP/2NQPP2/PPP1N3/1K1R3R w kq - 6 13
e4,r3k2r/pp1n1pp1/2pqpn1p/3p4/3P2PP/2NQPP2/PPP1N3/1K1R3R w kq - 0 14
fxe4,r3k2r/pp1n1pp1/2pqpn1p/8/3Pp1PP/2NQ1P2/PPP1N3/1K1R3R w kq - 0 15
e5,r3k2r/ppqn1pp1/2p1pn1p/8/3PP1PP/2NQ4/PPP1N3/1K1R3R w kq - 1 16
Ne4,r3k2r/ppqn1pp1/2p1p2p/3nP3/3P2PP/2NQ4/PPP1N3/1K1R3R w kq - 1 17
c4,r6r/ppqnkpp1/2p1p2p/3nP3/3PN1PP/3Q4/PPP1N3/1K1R3R w - - 3 18
Nd6,r6r/ppqnkpp1/1np1p2p/4P3/2PPN1PP/3Q4/PP2N3/1K1R3R w - - 1 19
Rhf1,r4r2/ppqnkpp1/1npNp2p/4P3/2PP2PP/3Q4/PP2N3/1K1R3R w - - 3 20
c5,r1n2r2/ppqnkpp1/2pNp2p/4P3/2PP2PP/3Q4/PP2N3/1K1R1R2 w - - 5 21
g5,r1nq1r2/pp1nkpp1/2pNp2p/2P1P3/3P2PP/3Q4/PP2N3/1K1R1R2 w - - 1 22
exd6+,r2q1r2/pp1nkpp1/2pnp2p/2P1P1P1/3P3P/3Q4/PP2N3/1K1R1R2 w - - 0 23
Qe4,r2qkr2/pp1n1pp1/2pPp2p/2P3P1/3P3P/3Q4/PP2N3/1K1R1R2 w - - 1 24
hxg5,r2qkr2/pp1n1pp1/2pPp3/2P3p1/3PQ2P/8/PP2N3/1K1R1R2 w - - 0 25
Rg1,r3kr2/pp1n1pp1/2pPp3/2P3q1/3PQ3/8/PP2N3/1K1R1R2 w - - 0 26
Qe3,r3kr2/pp1n1pp1/2pPp3/2Pq4/3PQ3/8/PP2N3/1K1R2R1 w - - 2 27
Nc3,r3kr2/pp3pp1/2pPpn2/2Pq4/3P4/4Q3/PP2N3/1K1R2R1 w - - 4 28
Rxg7,r3kr2/pp3pp1/2pPpn2/2P4q/3P4/2N1Q3/PP6/1K1R2R1 w - - 6 29
Nxe4,r2q1rk1/pbppbppp/2p5/4p3/2B1n3/2N1BN2/PPPQ1PPP/R3K2R w KQ - 0 10
O-O,r2q1rk1/pbppbppp/8/2p1p3/2B1N3/4BN2/PPPQ1PPP/R3K2R w KQ - 0 11
Nxe5,r2q1rk1/p1ppbppp/8/2p1p3/2B1b3/4BN2/PPPQ1PPP/R4RK1 w - - 0 12
Bxg5,r2q1rk1/p1pp1ppp/8/2p1N1b1/2B1b3/4B3/PPPQ1PPP/R4RK1 w - - 1 13
Qxd7,r1q2rk1/p1pp1ppp/8/2p1N1B1/2B1b3/8/PPPQ1PPP/R4RK1 w - - 1 14
Nxd7,r4rk1/p1pq1ppp/8/2p1N1B1/2B1b3/8/PPP2PPP/R4RK1 w - - 0 15
